Location_Description,Sample_Date_and_Time,what3words_location,Approx_River_Depth_at_Sample_Point_cm,Sampling_Depth_cm_estimated,Weather_Conditions,River_Flow,River_state,E_coli_count_Colonies_per_1ml,Phosphate_PO4_mgpL,Phosphate_P_mgpL,Nitrate_ppm,Ammonia_ppm,datasheet_date
Charsfield Downstream,10.25 am,native.consoled.delight,5 cm,5 cm,Sunny 22C,Fast,Clear over black pebbles,7,8.6,2.80446,50,NA,2024-08-05
Potsford Brook Charfield STW outfall,10.20,listings.cutlets.twinkling,30 cm,30 cm,Sunny 22C,From outfall,Clear; lots of duckweed below; smelly,180,5.7,1.85877,100,NA,2024-08-05
Potsford Brook Charfield Bridge,NO SAMPLE,boss.situation.roots,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-05
Charfield farm culvert outfall into Brook,NO SAMPLE,singers.tightrope.farmed,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-05
Easton Field (downstream),10:35 am,swift.nips.banana,40cm,15cm,Sunny,very slow,"very clear, weeds from bank to bank upstream and downstream of the bridge, including rushes downstream",47,0.45,0.146745,0,NA,2024-08-05
Easton STW outfall,10.17 am,trooper.poodle.cleanser,From outfall,NA,Sunny,Fast,Clear,Circa 1000,10.6,3.45666,NA,NA,2024-08-05
Easton Bridge (upstream),10.23 am,flick.hunt.toast,90cm,15cm,Sunny,very slow,"very clear no weeds, saw a minnow?",5,0.28,0.091308,10,NA,2024-08-05
Debenham 1.  Downstream from STW Vince’s chickens,9.15 am,trusters.rigs.pipes,40 cm,30 cm,Sunny and dry,No flow,NA,135,0.54,0.176094,100,0.2,2024-08-05
Debenham 2                       STW Outlet Pipe,9.20 am,worm.oozed.zone,40 cm,From outfall pipe,Sunny and dry,From outfall,NA,171,0.47,0.153267,100,0.1,2024-08-05
Debenham 3.       Upstream from STW (Vince’s chickens,9.30 am,shunning.gace.signed,35 cm,25 cm,Sunny and dry,No flow,NA,110,0.51,0.166311,50,0.12,2024-08-05
Debenham 4         Kenton Road Bridge/ Thorpe Lane,9.10 am,swimsuits wheels ripples,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-05
Debenham 5           Ipswich Road/ Thorpe Lane,9.15 am,modem.slap.input,Dry,NA,Sunny and dry,NA,NA,NA,NA,NA,NA,NA,2024-08-05
Debenham 6            Kenton Road Bridge,9.16 am,fuzzy.foreheads.custom,Dry,NA,Sunny and dry,NA,NA,NA,NA,NA,NA,NA,2024-08-05
Debenham 7             Priory Road Bridge,9.30 am,compress.ever.shelters,30 cm,3cm,Sunny and dry,No flow,Puddle of water only,52,0.99,0.322839,0,2.76,2024-08-05
Debenham 8              Water Lane Ford,8.00 am,salary boomer viewer,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-05
Debenham 9      Footbridge Chancery Lane Aspall Road,8.05 am,emulating fondest league,20 cm,10 cm,Sunny and dry,No flow,Standing water; discoloured and overgrown,13,1.94,0.632634,0,0.57,2024-08-05
Debenham 10.          Aspall Road/ Brook Lane Corner Bridge,8.25 am,riots headset enable,8 cm,8 cm,Sunny and dry,Slight flow,Clear; slight flow; fish seen,109,1.94,0.632634,0,0.54,2024-08-05
Debenham 11          Corner Bridge Chancery / Brook Lane,8.15 am,radar snored drummers,4 cm,4 cm,Sunny and dry,Very slight flow,Overgrown with bullrushes and borage,40,0.93,0.303273,10,0.61,2024-08-05
"Debenham 12                     Private access bridge at Gull Farm, Aspall Road",7.40 am,costs.trust.precluded,30 cm,30 cm,Sunny and dry,No flow,Cloudy water,5,1.8,0.58698,0,0.32,2024-08-05
"Debenham 13            Aspall Road after Bellwell Lane, concrete bridge",7.45 am,trickled.magnum.slurping,30 com,30 cm,Sunny and dry,No flow,Clear,12,1.43,0.466323,0,0.17,2024-08-05
Debenham 14     Aspall Village; access via track/footpath,NA,NOT TAKEN AS NO PERMISSION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-05
"Debenham 15               Downstream of New Road bridge, where tributaries meet",8.00 am,invest.minivans.unstated,40 cm,30 cm,Sunny and dry,No flow,Sample taken from beside culvert under bridge,29,0.74,0.241314,0,0.22,2024-08-05
Debenham 16.           Valley Cottage New Road,8.06 am,including.shock.cheek,10 cm,10 cm,Sunny and dry,No flow,Owner says all eater from factory overflow,39,0.86,0.280446,0,0.18,2024-08-05
Lake  - sample taken on bridge facing village,9.45 am,NA,50 cm,30 cm,Sunny and dry,No flow,Static with lily pads and cloudy green water,1,0,0,0,0.19,2024-08-05
